FirstName,LastName,ADP_SF,Position,Y0_VORP,Y1_VORP,Y2_VORP,Y3_VORP,Y4_VORP,Y5_VORP,Y6_VORP,Y7_VORP,Y8_VORP,Y9_VORP,Y10_VORP,Y11_VORP,Y12_VORP,Y13_VORP,Y14_VORP,Y15_VORP,Y16_VORP,Y17_VORP,Y18_VORP,Y19_VORP,Y20_VORP
George,Kittle,60.6,TE,1.315802862,1.190289616,0.783439789,0.561190536,0.273466803,0.254987429,0.239475923,0.392418515,0.31860939,0,0,0,0,0,0,0,0,0,0,0,0
Kyle,Pitts,35.1,TE,0.959142386,0.702463087,1.928601018,1.024443757,0.835838059,0.751206873,0.511941855,0.594008313,0.365619618,0.129897418,0.079132097,0.034333448,0.025698777,0.01878882,0,0,0,0,0,0,0
Dallas,Goedert,69.5,TE,0.8122697,1.10288883,0.739345025,0.499460609,0.251434786,0.078715633,0.171143562,0,0.031548108,0,0,0,0,0,0,0,0,0,0,0,0
Deshaun,Watson,22.2,QB,4.839222277,2.98397887,2.419385867,1.936754558,2.915814089,1.955223758,1.172198893,0.671771159,0.928602285,0.65196574,0.553720425,0.125168892,0.115257061,0.090451563,0.076519714,0.134780173,0.14744549,0.070187055,0.070187055,0.070187055,0.070187055
Trevor,Lawrence,9,QB,3.795823199,3.66721032,2.584736115,1.700684705,1.754165243,2.308423818,1.692073998,2.060210687,1.846827079,1.661321872,1.388471745,1.062784635,0.755634164,0.370246745,0.052053719,0,0,0,0,0,0
Christian,Kirk,92.7,WR,2.642184874,2.172638057,1.439379464,1.116263505,0.833115514,0.508261371,0.170732848,0.16710831,0.03768991,0.010258545,0,0,0,0,0,0,0,0,0,0,0
Javonte,Williams,61.4,RB,3.509975145,3.551474463,2.760222749,2.775902427,1.503250422,1.415240438,0.467208396,0.26389778,0.237609825,0.332617691,0.099742959,0,0,0,0,0,0,0,0,0,0
Alvin,Kamara,106.9,RB,4.285667996,3.736003127,2.758127916,1.487207563,1.263944844,0.611124648,0.228285388,0.045559057,0.021303431,0.027929121,0,0,0,0,0,0,0,0,0,0,0
Brandin,Cooks,139.4,WR,2.722058824,1.951871758,1.323355567,0.976038959,0.616781888,0.453300533,0.321113667,0.061440962,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon,Aiyuk,71.9,WR,2.097397059,1.932688575,1.726647471,1.09677125,0.880527145,0.476512249,0.584574112,0.251767802,0.170280924,0.028267087,0,0,0,0,0,0,0,0,0,0,0
Michael,Thomas,150.4,WR,2.981039216,2.609243954,1.601189702,1.241322072,0.53640919,0.528842308,0.119981345,0.042659558,0,0,0,0,0,0,0,0,0,0,0,0,0
Jahan,Dotson,79.8,WR,1.755496957,2.083989683,1.766170606,2.090500043,1.982181412,1.553160485,1.133641323,0.961162178,0.584136155,0.496250124,0.440438124,0.1408075,0.202242046,0.133881285,0.117331568,0,0,0,0,0,0
David,Montgomery,108.4,RB,3.444686701,2.160216366,1.630935781,0.8597088,0.393229789,0.208239307,0.206402913,0.094838211,0.005386536,0.01075621,0,0,0,0,0,0,0,0,0,0,0
Jakobi,Meyers,157.5,WR,2.362697274,2.062607428,1.344665148,1.055500216,0.733572161,0.453852815,0.12230871,0.144337254,0.027513579,0.003321328,0,0,0,0,0,0,0,0,0,0,0
George,Pickens,67.4,WR,1.492904737,2.686648374,2.074988949,2.190008444,2.199388104,2.1155619,1.672185087,1.09547468,0.431459606,0.084472608,0.035649692,0.018728601,0,0,0,0,0,0,0,0,0
Jaxon,Smith-Njigba,40,WR,1.489396148,2.966766583,3.3651851,3.070838795,2.736927403,2.976919687,3.070584373,2.264168162,1.443174625,0.602459662,0.194645141,0.180251786,0.052905484,0.026939855,0,0,0,0,0,0,0
Treylon,Burks,71.7,WR,1.484133264,1.816077441,1.900123238,1.886334837,1.874669882,1.418257831,1.14528701,0.826214065,0.645881419,0.448453796,0.354467909,0.105523694,0.119658838,0.065011897,0.05333497,0,0,0,0,0,0
Pat,Freiermuth,86.2,TE,0.250962567,0.726923166,0.483382142,0.527005966,0.386465717,0.497263139,0.454830835,0.365993635,0.071485124,0.009279008,0.015407653,0.00168407,0.006290444,4.95E-04,0,0,0,0,0,0,0
Evan,Engram,114.1,TE,0.3388,1.113736366,0.674156446,0.465315523,0.17855131,0.018991725,0.172730795,0.110005929,0.103735089,0,0,0,0,0,0,0,0,0,0,0,0
David,Njoku,105.3,TE,0.3157,0.562912096,0.426262581,0.48437332,0.340241983,0.182144037,0.029215595,0.072053735,0.001537985,0.04152595,0.014843065,0,0,0,0,0,0,0,0,0,0
Dak,Prescott,30.2,QB,3.809331467,3.186973043,3.256474246,3.003448976,1.753291505,1.563397387,1.98531991,1.87212398,1.572569193,0.285384108,0.200085529,0.071515659,0.035782324,0.008942699,0.021000157,0,0,0,0,0,0
Kirk,Cousins,65.2,QB,4.183301802,2.01520821,1.721650264,2.542569482,0.576699295,0.901834595,0.16356646,0,0.304880753,0.372771608,0,0,0,0,0,0,0,0,0,0,0
Daniel,Jones,51.1,QB,3.911866189,4.375191261,2.232812465,2.043910373,1.948195749,2.417237173,2.970213804,1.338838925,1.0644557,0.48623466,1.227082834,1.054230529,0.259799908,0,0,0,0,0,0,0,0
D'Andre,Swift,66.5,RB,2.958743316,2.497485974,1.824834591,1.538208399,1.37862961,0.840614007,0.563926798,0.261022161,0.303012684,0.10068476,0.021017297,0,0,0,0,0,0,0,0,0,0
